policy_id,age,vehicle_type,vehicle_age,annual_mileage,accident_history,claim
774,64,Sedan,5,16590,2,false
775,77,Tractor,19,7618,4,false
776,26,Motorcycle,4,7838,4,true
777,38,Truck,20,20993,0,false
778,75,Sedan,19,5312,3,false
779,79,Truck,5,26916,2,false
780,41,Sedan,5,11698,2,true
781,34,SUV,18,27969,1,false
782,41,SUV,20,26956,3,true
783,80,Truck,19,5673,4,true
784,25,Tractor,12,21325,3,true
785,37,Tractor,15,13753,4,true
786,41,Motorcycle,14,9551,2,false
787,22,Tractor,6,26355,5,false
788,23,Sedan,1,11429,4,false
789,77,Tractor,10,5777,4,true
790,72,Sedan,3,9741,1,false
791,50,Truck,12,21613,5,true
792,80,Tractor,8,14862,0,false
793,22,Sedan,17,11624,3,true
794,46,Motorcycle,11,10189,5,true
795,63,Truck,20,11523,3,true
796,69,SUV,3,22508,1,true
797,74,Tractor,10,28719,3,true
798,44,Truck,1,13987,0,true
799,42,Sedan,1,23999,4,false
800,75,SUV,0,15006,0,true
801,55,Truck,10,8289,4,false
802,26,Truck,20,15792,2,false
803,68,Motorcycle,20,28641,0,false
804,57,SUV,18,18031,5,false
805,29,Tractor,11,19858,1,false
806,56,Truck,20,21967,0,false
807,70,SUV,9,11941,5,true
808,25,Sedan,13,13787,4,false
809,46,Sedan,6,28562,4,true
810,32,SUV,15,12350,0,false
811,48,Motorcycle,3,10914,5,true
812,25,Motorcycle,11,21397,3,true
813,55,Truck,17,8664,4,false
814,64,Tractor,20,9899,0,false
815,28,Sedan,15,11230,5,false
816,76,Tractor,17,15796,4,false
817,20,Sedan,17,25303,5,false
818,45,Sedan,9,9489,3,true
819,67,Sedan,6,11394,1,true
820,31,SUV,3,5085,3,true
821,41,Truck,4,12903,3,false
822,39,Motorcycle,20,25163,3,true
823,79,Sedan,20,17311,3,false
824,26,Sedan,5,8861,5,true
825,64,Tractor,8,21775,3,false
826,51,Sedan,14,23421,3,true
827,34,Motorcycle,4,6390,1,false
828,59,Sedan,2,11688,3,true
829,26,Sedan,14,29514,3,false
830,40,SUV,0,16410,2,false
831,58,SUV,12,19444,2,true
832,38,Sedan,18,26511,3,true
833,45,Motorcycle,0,10062,2,true
834,65,Truck,13,26924,4,false
835,46,Sedan,20,15655,4,true
836,30,Motorcycle,9,9948,2,false
837,38,SUV,3,16638,3,true
838,31,Motorcycle,3,9091,1,true
839,52,Sedan,16,16293,5,true
840,35,Sedan,4,24801,2,true
841,60,Sedan,12,18496,4,true
842,59,Tractor,1,9593,5,false
843,73,Sedan,7,7052,2,true
844,19,Motorcycle,15,9017,2,false
845,48,Truck,12,29013,4,true
846,29,Sedan,3,25985,2,true
847,25,Sedan,7,21835,2,true
848,56,Tractor,13,22805,5,false
849,70,Tractor,4,5679,4,false
850,62,Sedan,1,14480,0,true
851,62,SUV,6,22401,5,true
852,56,SUV,7,27863,0,true
853,26,SUV,9,6519,1,true
854,70,Truck,3,19080,3,false
855,49,Tractor,9,13331,2,true
856,70,SUV,18,23430,0,false
857,18,Sedan,4,26087,1,false
858,25,Truck,12,23753,3,true
859,49,Sedan,11,13602,5,true
860,27,Truck,15,18724,4,true
861,42,Sedan,16,28816,3,true
862,18,Truck,18,7902,4,true
863,36,SUV,1,14738,2,true
864,29,SUV,15,12293,5,true
865,27,Tractor,9,13769,1,true
866,54,Tractor,4,6941,1,false
867,77,Sedan,8,17563,2,true
868,19,Sedan,11,11358,0,false
869,41,Tractor,19,20896,3,true
870,32,Truck,8,9592,1,true
871,67,Tractor,3,13675,5,true
872,53,Tractor,13,27369,3,false
873,25,Motorcycle,5,17434,2,true
874,43,Motorcycle,19,18901,0,true
875,77,Sedan,4,15007,4,false
876,46,Motorcycle,7,17704,5,true
877,67,Tractor,20,14731,5,false
878,66,Motorcycle,16,12528,1,true
879,66,Tractor,1,23978,1,true
880,43,Sedan,18,9553,4,true
881,52,Truck,8,13809,0,false
882,27,Truck,14,11658,1,false
883,40,Sedan,16,20419,5,false
884,80,SUV,9,6771,5,false
885,49,Sedan,14,27994,5,true
886,32,SUV,3,22791,2,true
887,51,Motorcycle,19,18780,0,true
888,71,Tractor,11,26738,4,false
889,22,Tractor,7,7107,4,true
890,39,Truck,2,22696,3,false
891,79,Tractor,4,19825,0,false
892,47,SUV,14,5637,1,true
893,43,SUV,9,23967,5,false
894,38,SUV,13,17112,1,true
895,76,Motorcycle,18,12878,5,false
896,35,SUV,18,10143,5,true
897,48,Sedan,1,28740,1,true
898,20,Sedan,13,18608,3,false
899,30,Tractor,19,6499,3,true
900,75,Sedan,17,10908,3,false
901,36,Motorcycle,20,22108,0,false
902,55,Sedan,0,19550,2,false
903,45,Truck,6,11067,4,true
904,68,Sedan,15,29780,3,false
905,37,Sedan,11,11183,2,false
906,57,SUV,13,15260,2,false
907,73,Motorcycle,5,25766,4,true
908,64,Sedan,12,20132,0,true
909,62,Motorcycle,14,28182,0,true
910,33,Sedan,8,9774,3,true
911,36,Motorcycle,8,24575,3,true
912,30,Motorcycle,4,11045,4,true
913,30,Sedan,16,22686,1,true
914,57,Sedan,5,26716,3,false
915,35,Sedan,2,10113,0,true
916,41,Tractor,6,12569,4,false
917,68,Tractor,0,20110,4,true
918,55,Motorcycle,0,24729,3,true
919,48,SUV,3,6133,2,true
920,72,Tractor,1,29814,0,true
921,35,Sedan,6,5465,2,false
922,27,SUV,11,11613,4,false
923,20,Sedan,20,13702,5,false
924,78,Motorcycle,12,20203,5,false
925,59,Tractor,9,26929,4,false
926,68,Motorcycle,10,6919,4,false
927,58,Tractor,20,21619,3,false
928,71,Sedan,20,24058,1,true
929,21,Tractor,8,15842,0,false
930,37,Tractor,4,7835,3,false
931,44,Truck,9,17077,4,false
932,43,Tractor,17,14048,4,true
933,35,Truck,1,28242,4,false
934,36,Truck,2,6057,4,false
935,71,SUV,2,11555,2,false
936,61,Tractor,20,16896,5,false
937,28,Motorcycle,11,7538,4,true
938,18,Truck,16,15337,3,false
939,45,Sedan,9,13303,3,true
940,66,Tractor,1,19258,5,false
941,22,Truck,18,27178,3,true
942,18,Tractor,1,16600,1,false
943,47,Sedan,3,13068,2,true
944,80,Sedan,17,10876,0,true
945,24,Motorcycle,4,14491,3,false
946,27,Sedan,3,27775,1,true
947,57,Motorcycle,13,16614,1,false
948,58,Tractor,6,10450,2,false
949,42,Tractor,17,28795,2,false
950,64,Truck,18,26350,2,true
951,47,Tractor,8,17621,3,false
952,41,SUV,16,11954,0,false
953,48,SUV,0,21067,4,true
954,26,Sedan,6,15318,1,true
955,53,Motorcycle,8,7582,5,false
956,56,Truck,18,18087,3,false
957,70,Sedan,13,29054,1,false
958,34,SUV,3,6009,3,false
959,31,Tractor,13,21527,4,true
960,34,Sedan,16,27202,5,true
961,76,Motorcycle,20,28455,4,false
962,56,Tractor,18,20847,4,true
963,69,Tractor,5,19771,1,true
964,21,Truck,9,26246,0,true
965,53,Motorcycle,4,14579,2,false
966,18,Sedan,6,9631,3,false
967,49,SUV,2,11231,1,true
968,66,Tractor,8,10977,4,false
969,33,Sedan,5,29827,5,false
970,74,Truck,11,27644,3,true
971,30,Sedan,18,15022,2,false
972,19,Truck,10,14473,2,true
973,74,Tractor,4,9160,5,true
974,50,SUV,20,11591,5,true
975,48,SUV,7,22270,5,true
976,30,SUV,7,28710,1,false
977,76,Truck,14,12257,2,false
978,29,SUV,9,11131,2,false
979,35,Sedan,2,12542,5,true
980,23,Motorcycle,16,29794,4,true
981,53,Tractor,5,12821,1,false
982,71,Motorcycle,11,21953,3,false
983,31,SUV,20,8432,5,true
984,50,Sedan,6,5829,5,true
985,21,SUV,11,21504,3,true
986,52,Motorcycle,17,29542,2,false
987,28,Motorcycle,9,9764,3,true
988,70,SUV,15,7690,5,false
989,56,SUV,10,28907,2,true
990,29,Tractor,9,15986,2,true
991,48,Tractor,13,18331,3,false
992,24,Motorcycle,10,12189,5,false
993,70,Tractor,8,5075,1,true
994,58,SUV,0,24780,5,true
995,22,SUV,7,11508,0,false
996,58,Truck,2,7436,4,true
997,23,Truck,1,20135,4,true
998,49,Tractor,9,12595,5,true
999,62,Tractor,17,6707,4,true
1000,23,Motorcycle,13,9817,3,true
